,ticker
534,FCX
535,SCHW
536,RTN
537,TRV
538,AFL
539,DFS
540,NOC
541,MPC
542,CME
543,MTB
544,RF
545,GMCR
546,L
547,UNM
548,THC
549,GOOG
550,ESS
551,GOOG
552,INTC
553,TWX
554,ADM
555,AVGO
556,UAA
557,NAVI
558,X
559,MOS
560,XEC
561,AMG
562,MLM
563,MNK
564,DISCK
565,URI
566,UHS
567,YHOO
568,ACE
569,WLP
570,ZMH
571,NU
572,BF_B
573,LVLT
574,UA
575,USD
576,GCI
577,UBSFY
578,WBA
579,RCL
580,HCA
581,ENDP
582,AAL
583,SWKS
584,HBI
585,EQIX
586,SLG
587,HSIC
588,BF_B
589,O
590,QRVO
591,JBHT
592,BLD
593,CC
594,KHC
595,PYPL
596,BXLT
597,WRK
598,AAP
599,SIG
600,CPGX
601,ATVI
602,CMCSK
603,UAL
604,FOX
605,NWS
606,VRSK
607,HPE
608,ILMN
609,SYF
610,CSRA
611,SYF
612,CHD
613,WLTW
614,CFG
615,EXR
616,FRT
617,CXO
618,AWK
619,CNC
620,UDR
621,HOLX
622,SPGI
623,ULTA
624,GPN
625,FL
626,UAA
627,DLR
628,AYI
629,LKQ
630,AJG
631,ALK
632,TDG
633,LNT
634,FBHS
635,ALB
636,FTV
637,CHTR
638,MTD
639,COO
640,COTY
641,ARNC
642,MAA
643,EVHC
644,IDXX
645,INCY
646,CBOE
647,DISH
648,SNPS
649,ARE
650,RJF
651,REG
652,DXC
653,IT
654,INFO
655,HLT
656,ALGN
657,RE
658,ANSS
659,MGM
660,BHGE
661,RMD
662,PKG
663,DRE
664,AOS
665,BTI
666,SBAC
667,ANDV
668,Q
669,BHF
670,DWDP
671,CDNS
672,TPR
673,NCLH
674,IQV
675,APTV
676,HII
