,ticker
0,ABT
1,ABBV
2,ABMD
3,ACN
4,ATVI
5,ADBE
6,AMD
7,AAP
8,AES
9,AFL
10,A
11,APD
12,AKAM
13,ALK
14,ALB
15,ARE
16,ALGN
17,ALLE
18,LNT
19,ALL
20,GOOGL
21,GOOG
22,MO
23,AMZN
24,AMCR
25,AEE
26,AAL
27,AEP
28,AXP
29,AIG
30,AMT
31,AWK
32,AMP
33,ABC
34,AME
35,AMGN
36,APH
37,ADI
38,ANSS
39,ANTM
40,AON
41,AOS
42,APA
43,AAPL
44,AMAT
45,APTV
46,ADM
47,ANET
48,AJG
49,AIZ
50,T
51,ATO
52,ADSK
53,ADP
54,AZO
55,AVB
56,AVY
57,BKR
58,BLL
59,BAC
60,BBWI
61,BAX
62,BDX
63,BRK.B
64,BBY
65,BIO
66,TECH
67,BIIB
68,BLK
69,BK
70,BA
71,BKNG
72,BWA
73,BXP
74,BSX
75,BMY
76,AVGO
77,BR
78,BRO
79,BF.B
80,CHRW
81,CDNS
82,CZR
83,CPB
84,COF
85,CAH
86,KMX
87,CCL
88,CARR
89,CTLT
90,CAT
91,CBOE
92,CBRE
93,CDW
94,CE
95,CNC
96,CNP
97,CDAY
98,CERN
99,CF
100,CRL
101,SCHW
102,CHTR
103,CVX
104,CMG
105,CB
106,CHD
107,CI
108,CINF
109,CTAS
110,CSCO
111,C
112,CFG
113,CTXS
114,CLX
115,CME
116,CMS
117,KO
118,CTSH
119,CL
120,CMCSA
121,CMA
122,CAG
123,COP
124,ED
125,STZ
126,COO
127,CPRT
128,GLW
129,CTVA
130,COST
131,CTRA
132,CCI
133,CSX
134,CMI
135,CVS
136,DHI
137,DHR
138,DRI
139,DVA
140,DE
141,DAL
142,XRAY
143,DVN
144,DXCM
145,FANG
146,DLR
147,DFS
148,DISCA
149,DISCK
150,DISH
151,DG
152,DLTR
153,D
154,DPZ
155,DOV
156,DOW
157,DTE
158,DUK
159,DRE
160,DD
161,DXC
162,EMN
163,ETN
164,EBAY
165,ECL
166,EIX
167,EW
168,EA
169,EMR
170,ENPH
171,ETR
172,EOG
173,EFX
174,EQIX
175,EQR
176,ESS
177,EL
178,ETSY
179,EVRG
180,ES
181,RE
182,EXC
183,EXPE
184,EXPD
185,EXR
186,XOM
187,FFIV
188,FAST
189,FRT
190,FDX
191,FIS
192,FITB
193,FE
194,FRC
195,FISV
196,FLT
197,FMC
198,F
199,FTNT
200,FTV
201,FBHS
202,FOXA
203,FOX
204,BEN
205,FCX
206,GPS
207,GRMN
208,IT
209,GNRC
210,GD
211,GE
212,GIS
213,GM
214,GPC
215,GILD
216,GL
217,GPN
218,GS
219,GWW
220,HAL
221,HBI
222,HIG
223,HAS
224,HCA
225,PEAK
226,HSIC
227,HSY
228,HES
229,HPE
230,HLT
231,HOLX
232,HD
233,HON
234,HRL
235,HST
236,HWM
237,HPQ
238,HUM
239,HBAN
240,HII
241,IEX
242,IDXX
243,INFO
244,ITW
245,ILMN
246,INCY
247,IR
248,INTC
249,ICE
250,IBM
251,IP
252,IPG
253,IFF
254,INTU
255,ISRG
256,IVZ
257,IPGP
258,IQV
259,IRM
260,JKHY
261,J
262,JBHT
263,SJM
264,JNJ
265,JCI
266,JPM
267,JNPR
268,KSU
269,K
270,KEY
271,KEYS
272,KMB
273,KIM
274,KMI
275,KLAC
276,KHC
277,KR
278,LHX
279,LH
280,LRCX
281,LW
282,LVS
283,LEG
284,LDOS
285,LEN
286,LLY
287,LNC
288,LIN
289,LYV
290,LKQ
291,LMT
292,L
293,LOW
294,LUMN
295,LYB
296,MTB
297,MRO
298,MPC
299,MKTX
300,MAR
301,MMC
302,MLM
303,MAS
304,MA
305,MTCH
306,MKC
307,MCD
308,MCK
309,MDT
310,MRK
311,FB
312,MET
313,MTD
314,MGM
315,MCHP
316,MU
317,MSFT
318,MAA
319,MRNA
320,MHK
321,TAP
322,MDLZ
